ObecnÌ kÛd,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
585173,DolnÌ Lhota,504,354,353,"5,94 %","0,28 %","0,00 %","4,81 %","0,00 %","5,66 %","4,24 %","0,56 %","0,56 %","0,28 %","0,56 %","0,00 %","6,51 %","0,00 %","0,84 %","23,79 %","0,00 %","0,84 %","35,41 %","0,56 %","0,00 %","0,28 %","7,64 %","1,13 %"
585181,Doubravy,436,271,270,"14,07 %","0,74 %","0,00 %","7,03 %","0,00 %","9,62 %","3,70 %","1,85 %","0,00 %","0,00 %","0,00 %","0,37 %","8,14 %","0,00 %","3,70 %","28,51 %","0,00 %","0,00 %","5,55 %","0,00 %","0,00 %","0,00 %","15,92 %","0,74 %"
585190,Drnovice,329,217,216,"2,31 %","0,00 %","0,00 %","6,94 %","0,00 %","11,11 %","2,77 %","0,92 %","2,31 %","0,00 %","0,00 %","0,00 %","6,94 %","0,00 %","2,31 %","23,61 %","0,00 %","0,00 %","33,79 %","0,92 %","0,00 %","0,00 %","6,01 %","0,00 %"
585203,Drûkov·,299,194,194,"7,21 %","0,51 %","0,00 %","7,73 %","0,51 %","6,70 %","5,15 %","0,00 %","0,51 %","0,51 %","0,00 %","0,00 %","6,70 %","0,51 %","1,54 %","37,11 %","0,00 %","0,00 %","11,34 %","0,00 %","0,00 %","0,00 %","13,91 %","0,00 %"
585211,Fryöt·k,3 037,1 972,1 952,"13,67 %","0,15 %","0,00 %","6,81 %","0,00 %","5,17 %","4,09 %","1,43 %","0,40 %","2,35 %","0,05 %","0,15 %","6,40 %","0,00 %","3,89 %","27,45 %","0,00 %","0,15 %","13,26 %","0,25 %","0,15 %","0,00 %","13,31 %","0,76 %"
585220,Halenkovice,1 502,887,886,"5,53 %","0,56 %","0,11 %","5,30 %","0,33 %","5,75 %","10,94 %","1,01 %","0,56 %","1,12 %","0,11 %","0,22 %","7,90 %","0,22 %","2,37 %","35,66 %","0,00 %","0,22 %","6,88 %","0,45 %","0,00 %","0,11 %","13,99 %","0,56 %"
585238,Haluzice,70,46,46,"0,00 %","0,00 %","0,00 %","10,86 %","0,00 %","2,17 %","10,86 %","0,00 %","0,00 %","2,17 %","0,00 %","0,00 %","6,52 %","0,00 %","2,17 %","28,26 %","0,00 %","0,00 %","10,86 %","0,00 %","0,00 %","0,00 %","26,08 %","0,00 %"
585246,HornÌ Lhota,457,315,315,"11,11 %","0,00 %","0,00 %","6,66 %","0,00 %","6,34 %","7,30 %","0,63 %","0,63 %","0,31 %","0,00 %","0,00 %","10,47 %","0,00 %","6,03 %","21,58 %","0,31 %","0,00 %","20,63 %","0,00 %","0,31 %","0,00 %","7,61 %","0,00 %"
585254,Hostiöov·,386,238,236,"5,93 %","0,42 %","0,42 %","2,54 %","0,00 %","8,47 %","6,35 %","0,00 %","0,42 %","0,84 %","0,00 %","0,00 %","7,20 %","0,00 %","2,54 %","24,15 %","0,00 %","0,00 %","17,37 %","1,27 %","0,84 %","0,42 %","18,22 %","2,54 %"
585262,Hrobice,381,218,217,"11,05 %","1,38 %","0,00 %","9,67 %","0,46 %","8,29 %","5,06 %","0,92 %","1,84 %","0,46 %","0,46 %","0,00 %","4,60 %","0,00 %","0,92 %","22,58 %","0,00 %","0,00 %","18,43 %","0,00 %","0,46 %","0,00 %","12,90 %","0,46 %"
585271,H¯ivÌn˘v ⁄jezd,452,283,283,"5,65 %","0,00 %","0,00 %","7,06 %","0,00 %","6,00 %","8,83 %","0,35 %","0,00 %","0,35 %","0,00 %","0,00 %","4,94 %","0,00 %","1,41 %","32,50 %","0,35 %","0,00 %","13,42 %","0,00 %","0,00 %","0,00 %","18,37 %","0,70 %"
585289,Hvozdn·,1 016,713,707,"11,03 %","0,14 %","0,14 %","8,48 %","0,00 %","5,94 %","4,66 %","1,13 %","0,28 %","1,27 %","0,00 %","0,00 %","10,74 %","0,14 %","2,82 %","22,34 %","0,00 %","0,28 %","16,40 %","1,13 %","0,42 %","0,14 %","12,02 %","0,42 %"
585301,Jasenn·,761,494,493,"10,95 %","0,20 %","0,00 %","5,67 %","0,20 %","8,31 %","7,30 %","1,21 %","0,81 %","3,24 %","0,00 %","0,20 %","7,70 %","0,00 %","3,24 %","26,36 %","0,00 %","0,40 %","6,69 %","0,81 %","0,20 %","0,40 %","15,41 %","0,60 %"
585319,Jest¯abÌ,232,115,115,"6,08 %","0,86 %","0,00 %","13,04 %","0,00 %","6,95 %","11,30 %","0,00 %","3,47 %","0,86 %","0,00 %","0,00 %","5,21 %","0,00 %","1,73 %","19,13 %","0,00 %","0,00 %","24,34 %","0,00 %","0,00 %","0,86 %","4,34 %","1,73 %"
585327,KaÚovice,225,144,143,"2,09 %","0,00 %","0,00 %","5,59 %","0,00 %","2,79 %","17,48 %","1,39 %","0,69 %","1,39 %","0,00 %","0,00 %","9,09 %","0,00 %","0,00 %","18,88 %","0,00 %","1,39 %","13,28 %","0,69 %","0,00 %","0,00 %","23,77 %","1,39 %"
587052,Karlovice,192,135,134,"8,20 %","0,00 %","0,00 %","6,71 %","0,00 %","3,73 %","5,97 %","0,00 %","0,74 %","0,74 %","0,00 %","0,00 %","6,71 %","0,00 %","2,98 %","35,07 %","0,00 %","0,74 %","14,92 %","0,74 %","0,00 %","0,00 %","12,68 %","0,00 %"
585343,Kaöava,718,502,499,"6,01 %","0,20 %","0,00 %","5,01 %","0,00 %","8,81 %","4,60 %","1,00 %","0,80 %","1,20 %","0,00 %","0,20 %","6,21 %","0,00 %","1,40 %","23,44 %","0,20 %","0,00 %","22,24 %","1,00 %","0,20 %","0,00 %","17,23 %","0,20 %"
592251,KelnÌky,127,93,93,"12,90 %","0,00 %","0,00 %","7,52 %","0,00 %","2,15 %","8,60 %","3,22 %","1,07 %","1,07 %","0,00 %","0,00 %","4,30 %","0,00 %","1,07 %","16,12 %","0,00 %","2,15 %","22,58 %","0,00 %","0,00 %","0,00 %","16,12 %","1,07 %"
549436,Kom·rov,285,187,185,"3,24 %","3,24 %","0,00 %","5,40 %","0,54 %","4,86 %","7,02 %","1,62 %","0,00 %","2,16 %","0,00 %","0,00 %","9,18 %","0,00 %","2,16 %","22,70 %","0,00 %","0,00 %","13,51 %","2,16 %","1,62 %","0,54 %","18,37 %","1,62 %"
586960,K¯ekov,138,84,82,"3,65 %","0,00 %","0,00 %","8,53 %","1,21 %","13,41 %","8,53 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,53 %","0,00 %","2,43 %","13,41 %","0,00 %","0,00 %","17,07 %","0,00 %","0,00 %","0,00 %","23,17 %","0,00 %"
