ObecnÌ kÛd,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
585556,Neubuz,374,225,224,"5,35 %","0,00 %","0,00 %","3,57 %","0,00 %","14,28 %","6,25 %","0,44 %","0,00 %","1,78 %","0,00 %","0,00 %","4,91 %","0,44 %","2,67 %","26,78 %","0,00 %","0,44 %","12,94 %","0,44 %","0,44 %","0,44 %","17,41 %","1,33 %"
549444,Old¯ichovice,324,207,206,"2,91 %","0,48 %","0,00 %","4,36 %","0,00 %","5,82 %","7,76 %","0,48 %","1,45 %","0,97 %","0,00 %","0,48 %","8,73 %","0,00 %","0,48 %","42,23 %","0,00 %","0,48 %","9,22 %","0,00 %","0,00 %","0,00 %","14,07 %","0,00 %"
557170,Ostrata,342,190,190,"7,36 %","0,00 %","0,00 %","5,78 %","0,00 %","7,89 %","1,57 %","0,00 %","0,00 %","1,05 %","0,00 %","1,05 %","7,36 %","0,00 %","5,26 %","37,36 %","0,00 %","1,05 %","8,94 %","1,57 %","0,00 %","0,00 %","13,68 %","0,00 %"
585599,Otrokovice,14 667,8 830,8 770,"7,14 %","0,30 %","0,11 %","8,27 %","0,07 %","4,52 %","6,07 %","1,35 %","0,58 %","1,72 %","0,07 %","0,07 %","9,72 %","0,10 %","2,24 %","33,97 %","0,04 %","0,13 %","6,24 %","1,07 %","0,22 %","0,09 %","15,18 %","0,58 %"
556874,Petr˘vka,278,175,175,"10,85 %","0,00 %","0,00 %","9,71 %","0,57 %","7,42 %","10,85 %","0,00 %","0,00 %","0,57 %","0,00 %","0,00 %","9,71 %","0,00 %","0,57 %","24,00 %","0,00 %","0,00 %","12,00 %","1,14 %","0,00 %","0,00 %","12,00 %","0,57 %"
534811,PodhradÌ,171,120,120,"9,16 %","0,00 %","0,00 %","5,83 %","0,00 %","6,66 %","1,66 %","0,83 %","0,83 %","5,00 %","0,00 %","0,00 %","2,50 %","0,00 %","0,83 %","28,33 %","0,00 %","0,00 %","27,50 %","0,00 %","0,00 %","0,00 %","10,83 %","0,00 %"
585611,Podkopn· Lhota,279,181,180,"7,77 %","0,00 %","0,00 %","6,66 %","0,00 %","3,88 %","7,77 %","0,55 %","1,11 %","1,66 %","0,00 %","0,00 %","5,55 %","0,00 %","0,55 %","31,66 %","0,55 %","0,00 %","15,00 %","0,00 %","0,00 %","0,00 %","16,66 %","0,55 %"
549461,Poho¯elice,721,499,494,"9,51 %","0,40 %","0,00 %","7,69 %","0,00 %","5,06 %","6,68 %","1,41 %","0,00 %","1,21 %","0,40 %","0,20 %","9,91 %","0,40 %","4,85 %","22,87 %","0,00 %","0,00 %","12,14 %","0,40 %","0,00 %","0,40 %","14,97 %","1,41 %"
549533,PoteË,624,443,442,"5,42 %","0,00 %","0,00 %","6,10 %","0,00 %","5,42 %","3,39 %","1,13 %","0,22 %","1,13 %","0,00 %","0,00 %","10,63 %","0,00 %","0,90 %","21,71 %","0,00 %","0,00 %","31,44 %","1,80 %","0,00 %","0,00 %","9,95 %","0,67 %"
549401,Pozlovice,1 062,757,750,"8,00 %","0,40 %","0,00 %","5,20 %","0,00 %","5,20 %","2,26 %","1,06 %","0,26 %","3,73 %","0,13 %","0,26 %","7,60 %","0,13 %","3,60 %","28,80 %","0,00 %","0,00 %","18,66 %","3,33 %","0,00 %","0,40 %","10,53 %","0,40 %"
